Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2023-02-21,247.85108947753906,250.61731377289414,246.791685383644,249.62656685950031,28397400
2023-02-22,246.71319580078125,249.48922383589215,245.56551183733654,249.24399183598243,22491100
2023-02-23,249.91104125976562,251.94155452190677,245.70285158085764,250.68596782653108,29219100
2023-02-24,244.46690368652344,246.21295451715133,243.3682689978879,245.1927958731005,24990900
2023-02-27,245.3889617919922,247.9982339676097,244.63364301109786,247.6450992749113,21190000
2023-02-28,244.66305541992188,246.69358352674163,243.9862127176486,244.3197396069621,22491000
2023-03-01,241.57315063476562,246.14426388843702,241.10229440260224,245.9775079191277,27565300
2023-03-02,246.32086181640625,246.60532438654516,240.92575713440505,241.84783196580932,24808200
2023-03-03,250.42112731933594,250.7448353875074,246.59551372780942,247.38025919903342,30760100
2023-03-06,251.9710235595703,255.1590402300071,251.09799805468487,251.53941275395925,24109800
2023-03-07,249.3028564453125,252.77535010371997,248.5573565201222,251.41184575322433,21473200
2023-03-08,248.86146545410156,249.68544149721592,246.02658373584873,249.19497742853704,17340200
2023-03-09,247.5077667236328,254.60967605303648,246.78187459593914,250.94101481489335,26653400
2023-03-10,243.84890747070312,247.9688024073323,242.87779825224976,246.291423774854,28333900
2023-03-13,249.0772247314453,252.9911326633416,241.04342237889503,242.6815702688881,33339700
2023-03-14,255.8162841796875,256.09094288956,250.98030017157734,251.85332570676704,33620300
2023-03-15,260.3775634765625,261.39773710687786,254.26637049083152,255.02170430462056,46028000
2023-03-16,270.9323425292969,271.28546226233277,258.25873880453594,260.15192277848104,54768800
2023-03-17,274.1007080078125,277.9263212786572,271.05003625066047,272.95303899433276,69527400
2023-03-20,267.0379943847656,272.1878655008875,264.7033813557704,271.69740158506636,43466600
2023-03-21,268.5584716796875,269.7552050595554,264.3797087419352,269.6374984870352,34558700
2023-03-22,267.09686279296875,275.67998180614,266.988945158892,268.18567837872166,34873300
2023-03-23,272.3644714355469,275.6996206406408,269.95139694314116,272.63913007748295,36610900
2023-03-24,275.218994140625,275.27784742962956,270.02987629936445,271.9524869231275,28172000
2023-03-27,271.10888671875,276.09198781080295,270.26527306825443,275.1503053082786,26840200
2023-03-28,269.9808044433594,270.8734524502473,266.8614308808072,270.53012168828354,21878600
2023-03-29,275.16015625,275.7781457546804,273.1002012129155,273.6396997041648,25087000
2023-03-30,278.6325988769531,279.034782967191,276.1116365553152,278.80918867585996,25053400
2023-03-31,282.8015441894531,283.75304559318363,277.6026375106462,278.3187257622944,32766000
2023-04-03,281.751953125,282.7720966657289,278.53451056340606,281.0554727089369,24883300
2023-04-04,281.70294189453125,284.9105961375122,280.2217607286318,281.752006263878,25824300
2023-04-05,278.91705322265625,281.67345840201926,277.52415228002326,280.3982640251811,22064800
2023-04-06,286.03863525390625,286.5094615754292,276.65114630640034,277.8086342608768,29770300
2023-04-10,283.8707580566406,284.07674454726254,279.279992431104,283.6941682719904,23103000
2023-04-11,277.43585205078125,280.52579918788547,276.26857527576567,280.30017497191614,27276600
2023-04-12,278.0833435058594,281.5362301479826,276.5825244619312,279.35856820820896,27403400
2023-04-13,284.31219482421875,284.37104811494265,277.76942120916596,278.18139424423316,24222700
2023-04-14,280.6827697753906,282.9781378461247,278.27948405144895,281.52635353888274,20987900
2023-04-17,283.2919921875,286.0386085271272,280.702357854445,284.40044560842966,23836200
2023-04-18,282.8701477050781,286.1955073491569,281.53610025289123,286.009128670463,20161800
2023-04-19,282.9486999511719,283.53723281599844,279.11326779246525,280.5355954631928,17150300
2023-04-20,280.6532897949219,283.51761266618416,279.6429351736415,279.80970610176666,23244400
2023-04-21,280.31005859375,280.81031163132116,277.66154041733506,279.57436242647407,21676400
2023-04-24,276.3960876464844,279.5154616165311,273.40426904899283,276.70999180903164,26611000
2023-04-25,270.167236328125,276.22936493295845,270.11817196073184,274.1792287517983,45772200
2023-04-26,289.7366943359375,293.85660384994554,287.14706002026827,291.0413453207768,64599200
2023-04-27,299.0162658691406,299.3792343711165,289.6189889013241,290.3252582511895,46462600
2023-04-28,301.3999328613281,303.03806578134134,297.52525546706266,298.2119170093905,36469600
2023-05-01,299.7323913574219,302.7144211983591,299.33020723943775,301.11550358691363,21294100
2023-05-02,299.58526611328125,303.28335441543976,298.1138739067997,301.8904532238792,26404400
2023-05-03,298.594482421875,302.7241809919645,298.29039713141395,300.7721438172862,22360800
2023-05-04,299.58526611328125,301.8904532238792,297.61359097721964,300.3994232958919,22519900
2023-05-05,304.725341796875,306.02017421583514,298.46701504078754,299.8893729164631,28197100
2023-05-08,302.7634582519531,304.28391479928877,300.2522846595883,304.2152426463564,21318600
2023-05-09,301.1449279785156,304.1269577971299,300.4680851917981,302.1258560826802,21340800
2023-05-10,306.3536071777344,307.03044986140986,301.80211703381246,302.73398062957256,30078000
2023-05-11,304.1955871582031,305.1863340809167,300.4190380652053,304.1857982337492,31680200
2023-05-12,303.0773620605469,304.7253141155851,300.7525672086982,304.6272153165958,19774700
2023-05-15,303.55792236328125,303.9895330096851,301.72359208383597,303.2048027083374,16336500
